stn_num,stn_name,date,snow,snow_3hr
90,속초,2/10/2011 3:00,0.2,0.2
90,속초,2/10/2011 4:00,0.3,
90,속초,2/10/2011 5:00,0.3,
90,속초,2/10/2011 6:00,0.3,0.1
90,속초,2/10/2011 7:00,0.3,
90,속초,2/10/2011 8:00,0.3,
90,속초,2/10/2011 9:00,0.3,0
90,속초,2/10/2011 10:00,0.3,
90,속초,2/10/2011 11:00,0.3,
90,속초,2/10/2011 12:00,0.3,0
90,속초,2/10/2011 13:00,0.3,
90,속초,2/10/2011 14:00,0.3,
90,속초,2/10/2011 15:00,0.3,0
90,속초,2/10/2011 16:00,0.5,
90,속초,2/10/2011 17:00,1,
90,속초,2/10/2011 18:00,1.3,1
90,속초,2/10/2011 19:00,1.4,
90,속초,2/10/2011 20:00,1.4,
90,속초,2/10/2011 21:00,1.6,0.3
90,속초,2/10/2011 22:00,1.6,
90,속초,2/10/2011 23:00,1.7,
90,속초,2/11/2011 0:00,1.8,0.2
90,속초,2/11/2011 1:00,1.9,
90,속초,2/11/2011 2:00,2.1,
90,속초,2/11/2011 3:00,2.3,0.5
90,속초,2/11/2011 4:00,2.3,
90,속초,2/11/2011 5:00,2.4,
90,속초,2/11/2011 6:00,2.5,0.2
90,속초,2/11/2011 7:00,3.1,
90,속초,2/11/2011 8:00,3.8,
90,속초,2/11/2011 9:00,4.5,2
90,속초,2/11/2011 10:00,5.1,
90,속초,2/11/2011 11:00,5.8,
90,속초,2/11/2011 12:00,7.5,3.3
90,속초,2/11/2011 13:00,10,
90,속초,2/11/2011 14:00,10.8,
90,속초,2/11/2011 15:00,11,3.9
90,속초,2/11/2011 16:00,12.7,
90,속초,2/11/2011 17:00,15.7,
90,속초,2/11/2011 18:00,16.1,5.5
90,속초,2/11/2011 19:00,19.5,
90,속초,2/11/2011 20:00,21.3,
90,속초,2/11/2011 21:00,25,9
90,속초,2/11/2011 22:00,27.4,
90,속초,2/11/2011 23:00,30.5,
90,속초,2/12/2011 0:00,34.3,8.9
90,속초,2/12/2011 1:00,36.1,
90,속초,2/12/2011 2:00,39.1,
90,속초,2/12/2011 3:00,41,7.4
90,속초,2/12/2011 4:00,42.8,
90,속초,2/12/2011 5:00,42.8,
90,속초,2/12/2011 6:00,41,2.1
90,속초,2/12/2011 7:00,40.5,
90,속초,2/12/2011 8:00,40.4,
90,속초,2/12/2011 9:00,40.3,0.1
90,속초,2/12/2011 10:00,40.1,
90,속초,2/12/2011 11:00,40,
90,속초,2/12/2011 12:00,40.1,0.2
90,속초,2/12/2011 13:00,39.8,
90,속초,2/12/2011 14:00,39.2,
90,속초,2/12/2011 15:00,37.5,0
90,속초,2/12/2011 16:00,37,
90,속초,2/12/2011 17:00,36.5,
90,속초,2/12/2011 18:00,36.5,
90,속초,2/12/2011 19:00,36.5,
90,속초,2/12/2011 20:00,36,
90,속초,2/12/2011 21:00,36,
90,속초,2/12/2011 22:00,36,
90,속초,2/12/2011 23:00,36,
90,속초,2/13/2011 0:00,35.5,
90,속초,2/13/2011 1:00,35.4,
90,속초,2/13/2011 2:00,35.3,
90,속초,2/13/2011 3:00,35.1,
90,속초,2/13/2011 4:00,35,
90,속초,2/13/2011 5:00,35,
90,속초,2/13/2011 6:00,35,
90,속초,2/13/2011 7:00,35,
90,속초,2/13/2011 8:00,34.5,
90,속초,2/13/2011 9:00,34,
90,속초,2/13/2011 10:00,33,
90,속초,2/13/2011 11:00,32.5,
90,속초,2/13/2011 12:00,32,
90,속초,2/13/2011 13:00,31.8,
90,속초,2/13/2011 14:00,31,
90,속초,2/13/2011 15:00,30.8,
90,속초,2/13/2011 16:00,30,
90,속초,2/13/2011 17:00,30,
90,속초,2/13/2011 18:00,30,
90,속초,2/13/2011 19:00,30,
90,속초,2/13/2011 21:00,30,
90,속초,2/14/2011 0:00,30,
95,철원,2/12/2011 7:00,0.1,
95,철원,2/12/2011 8:00,0.1,
95,철원,2/12/2011 9:00,0.1,0.1
95,철원,2/12/2011 10:00,0.1,
100,대관령,2/10/2011 16:00,0.2,
100,대관령,2/10/2011 17:00,0.5,
100,대관령,2/10/2011 18:00,0.7,0.7
100,대관령,2/10/2011 19:00,0.7,
100,대관령,2/10/2011 20:00,0.7,
100,대관령,2/10/2011 21:00,0.7,
100,대관령,2/10/2011 22:00,0.7,
100,대관령,2/10/2011 23:00,0.7,
100,대관령,2/11/2011 0:00,0.7,
100,대관령,2/11/2011 1:00,0.7,
100,대관령,2/11/2011 2:00,0.7,
100,대관령,2/11/2011 3:00,0.9,0.2
100,대관령,2/11/2011 4:00,1,
100,대관령,2/11/2011 5:00,1.3,
100,대관령,2/11/2011 6:00,1.4,0.6
100,대관령,2/11/2011 7:00,1.6,
100,대관령,2/11/2011 8:00,1.9,
100,대관령,2/11/2011 9:00,2,0.6
100,대관령,2/11/2011 10:00,2.4,
100,대관령,2/11/2011 11:00,2.7,
100,대관령,2/11/2011 12:00,3.4,1.4
100,대관령,2/11/2011 13:00,3.7,
100,대관령,2/11/2011 14:00,4,
100,대관령,2/11/2011 15:00,4.8,1.5
100,대관령,2/11/2011 16:00,5.4,
100,대관령,2/11/2011 17:00,6.4,
100,대관령,2/11/2011 18:00,9.2,4.5
100,대관령,2/11/2011 19:00,10.9,
100,대관령,2/11/2011 20:00,12.7,
100,대관령,2/11/2011 21:00,14.5,5.3
100,대관령,2/11/2011 22:00,16.3,
100,대관령,2/11/2011 23:00,17.1,
100,대관령,2/12/2011 0:00,20.3,5.9
100,대관령,2/12/2011 1:00,22.6,
100,대관령,2/12/2011 2:00,26.3,
100,대관령,2/12/2011 3:00,30.2,10
100,대관령,2/12/2011 4:00,31.5,
100,대관령,2/12/2011 5:00,34.9,
100,대관령,2/12/2011 6:00,38.8,8.9
100,대관령,2/12/2011 7:00,47,
100,대관령,2/12/2011 8:00,49.2,
100,대관령,2/12/2011 9:00,54.2,19.1
100,대관령,2/12/2011 10:00,55,
100,대관령,2/12/2011 11:00,56.1,
100,대관령,2/12/2011 12:00,56.3,5.5
100,대관령,2/12/2011 13:00,55.5,
100,대관령,2/12/2011 14:00,54.7,
100,대관령,2/12/2011 15:00,53.1,0
100,대관령,2/12/2011 16:00,52.8,
100,대관령,2/12/2011 17:00,52.4,
100,대관령,2/12/2011 18:00,52.1,0
100,대관령,2/12/2011 21:00,51.5,
100,대관령,2/13/2011 0:00,51.3,
100,대관령,2/13/2011 3:00,51.3,
100,대관령,2/13/2011 4:00,51.3,
100,대관령,2/13/2011 5:00,51.3,
100,대관령,2/13/2011 6:00,51.2,
100,대관령,2/13/2011 7:00,51.2,
100,대관령,2/13/2011 8:00,51.2,
100,대관령,2/13/2011 9:00,51.2,
100,대관령,2/13/2011 10:00,51,
100,대관령,2/13/2011 11:00,50.5,
100,대관령,2/13/2011 12:00,49.5,
100,대관령,2/13/2011 13:00,47.5,
100,대관령,2/13/2011 14:00,46.5,
100,대관령,2/13/2011 15:00,45.5,
100,대관령,2/13/2011 16:00,45,
100,대관령,2/13/2011 17:00,44.8,
100,대관령,2/13/2011 18:00,44.8,
100,대관령,2/13/2011 20:00,44.6,
100,대관령,2/13/2011 21:00,44.6,
100,대관령,2/13/2011 22:00,44.6,
100,대관령,2/13/2011 23:00,44.6,
100,대관령,2/14/2011 0:00,44.6,0.1
101,춘천,2/12/2011 6:00,0.5,0.5
101,춘천,2/12/2011 7:00,0.8,
101,춘천,2/12/2011 8:00,0.8,
101,춘천,2/12/2011 9:00,0.8,0.3
101,춘천,2/12/2011 10:00,0.7,
101,춘천,2/12/2011 11:00,0.5,
104,북강릉,2/10/2011 20:00,0.2,
104,북강릉,2/10/2011 21:00,0.5,0.5
104,북강릉,2/10/2011 22:00,0.6,
104,북강릉,2/10/2011 23:00,0.6,
104,북강릉,2/11/2011 0:00,0.7,0.2
104,북강릉,2/11/2011 1:00,0.9,
104,북강릉,2/11/2011 2:00,1.8,
104,북강릉,2/11/2011 3:00,3.7,3
104,북강릉,2/11/2011 4:00,4.7,
104,북강릉,2/11/2011 5:00,7.7,
104,북강릉,2/11/2011 6:00,9.2,5.5
104,북강릉,2/11/2011 7:00,10.7,
104,북강릉,2/11/2011 8:00,12.7,
104,북강릉,2/11/2011 9:00,14.5,5.3
104,북강릉,2/11/2011 10:00,17.5,
104,북강릉,2/11/2011 11:00,20.7,
104,북강릉,2/11/2011 12:00,23.7,9.2
104,북강릉,2/11/2011 13:00,28.5,
104,북강릉,2/11/2011 14:00,30.7,
104,북강릉,2/11/2011 15:00,33,9.3
104,북강릉,2/11/2011 16:00,36,
104,북강릉,2/11/2011 17:00,37.5,
104,북강릉,2/11/2011 18:00,38.3,5.5
104,북강릉,2/11/2011 19:00,40,
104,북강릉,2/11/2011 20:00,44,
104,북강릉,2/11/2011 21:00,47.9,9.9
104,북강릉,2/11/2011 22:00,58.8,
104,북강릉,2/11/2011 23:00,69,
104,북강릉,2/12/2011 0:00,78,30.5
104,북강릉,2/12/2011 1:00,81,
104,북강릉,2/12/2011 2:00,82,
104,북강릉,2/12/2011 3:00,82,8
104,북강릉,2/12/2011 4:00,80.3,
104,북강릉,2/12/2011 5:00,78.5,
104,북강릉,2/12/2011 6:00,78.2,2.5
104,북강릉,2/12/2011 7:00,79.3,
104,북강릉,2/12/2011 8:00,79,
104,북강릉,2/12/2011 9:00,77,1.6
104,북강릉,2/12/2011 10:00,76,
104,북강릉,2/12/2011 11:00,75,
104,북강릉,2/12/2011 12:00,74.5,0.1
104,북강릉,2/12/2011 13:00,74,
104,북강릉,2/12/2011 14:00,73,
104,북강릉,2/12/2011 15:00,72,
104,북강릉,2/12/2011 16:00,71,
104,북강릉,2/12/2011 17:00,70,
104,북강릉,2/12/2011 18:00,69,
104,북강릉,2/12/2011 21:00,68.9,
104,북강릉,2/13/2011 0:00,68.8,
