stn_num,start_date,end_date,stn_name,lat,lon
90,1/1/1968,,속초,38.2509,128.5647
93,10/1/2016,,북춘천,37.9474,127.7544
95,1/1/1988,,철원,38.1479,127.3042
98,2/1/1998,,동두천,37.9019,127.0607
99,10/22/2013,,파주,37.8859,126.7665
99,12/7/2001,10/22/2013,문산,37.8859,126.7665
100,11/7/2006,,대관령,37.6771,128.7183
100,7/15/1971,11/6/2006,대관령,37.6869,128.7587
101,1/1/1966,,춘천,37.9026,127.7357
102,5/1/2018,,백령도,37.974,124.7124
102,11/1/2000,5/1/2018,백령도,37.9661,124.6305
104,7/28/2008,,북강릉,37.8046,128.8554
105,10/3/1911,,강릉,37.7515,128.891
106,5/1/1992,,동해,37.5071,129.1243
108,8/16/2010,,서울,37.5714,126.9658
108,10/1/1907,8/15/2010,서울,37.5714,126.9658
112,10/22/2013,,인천,37.4777,126.6249
112,8/29/1904,10/22/2013,인천,37.4776,126.6244
114,9/6/1971,,원주,37.3375,127.9466
115,8/10/1938,,울릉도,37.4813,130.8986
116,1/1/1984,12/31/1990,관악산,37.4442,126.9639
119,7/24/2019,,수원,37.2575,126.983
119,1/1/1964,7/24/2019,수원,37.2723,126.9853
121,12/1/1994,,영월,37.1813,128.4574
127,1/1/1972,,충주,36.9705,127.9525
129,1/1/1968,,서산,36.7766,126.4939
130,1/12/1971,,울진,36.9918,129.4128
131,1/1/1967,,청주,36.6392,127.4407
133,1/1/1969,,대전,36.372,127.3721
135,1/11/1937,,추풍령,36.2203,127.9946
136,1/1/1983,,안동,36.5729,128.7073
136,1/1/1973,5/1/1978,안동,36.573,128.7073
137,1/1/2002,,상주,36.4084,128.1574
138,1/1/1943,,포항,36.032,129.38
140,12/31/2003,,군산,36.0053,126.7614
140,1/1/1968,12/1/2003,군산,35.993,126.7057
143,8/25/2017,,대구,35.878,128.653
143,1/31/1907,8/25/2017,대구,35.8282,128.6522
146,7/1/2015,,전주,35.8408,127.119
146,6/23/1918,7/1/2015,전주,35.8215,127.155
152,8/25/2017,,울산,35.5825,129.3347
152,4/1/2016,8/25/2017,울산,35.5826,129.3344
152,1/6/1932,4/1/2016,울산,35.5601,129.3203
155,7/22/2010,,창원,35.1702,128.5729
155,12/16/2004,7/21/2010,마산,35.1671,128.5751
155,7/1/1985,12/15/2004,마산,35.1903,128.5652
156,5/1/1939,,광주,35.1729,126.8916
159,4/9/1904,,부산,35.1047,129.032
162,1/1/1968,,통영,34.8455,128.4356
164,1/1/1993,7/31/2000,무안,35.0938,126.2851
165,10/31/2019,,목포,34.8173,126.3815
165,4/8/1904,10/31/2019,목포,34.8169,126.3812
168,3/1/1942,,여수,34.7393,127.7406
169,1/1/1997,,흑산도,34.6872,125.451
170,1/31/1971,,완도,34.3959,126.7018
172,12/1/2010,,고창,35.3489,126.599
174,4/1/2011,,순천,35.0204,127.3694
175,11/3/2001,8/1/2018,진도(첨찰산),34.4721,126.3238
176,10/10/2013,6/11/2015,대구(기),35.8782,128.6522
177,10/31/2017,,홍성,36.6576,126.6877
177,11/3/2015,10/31/2017,홍성(예),36.6575,126.6877
184,5/1/1923,,제주,33.5141,126.5297
185,1/1/1988,,고산,33.2938,126.1628
187,3/27/2007,9/4/2008,성산,33.3868,126.8804
188,9/4/2008,,성산,33.3868,126.8802
188,7/15/1971,9/4/2008,성산,33.3868,126.8804
189,11/9/2010,,서귀포,33.2462,126.5653
189,1/1/1961,11/9/2010,서귀포,33.2461,126.5653
